X,Y
4.557,1.818
4.567,1.809
4.580,1.802
4.597,1.799
4.616,1.798
4.636,1.798
4.658,1.800
4.680,1.802
4.702,1.805
4.723,1.807
4.743,1.808
4.761,1.808
4.778,1.806
4.794,1.804
4.809,1.801
4.825,1.797
4.840,1.793
4.856,1.787
4.873,1.781
4.890,1.773
4.908,1.766
4.927,1.758
4.947,1.749
4.967,1.740
4.988,1.731
5.009,1.722
5.031,1.713
5.052,1.704
5.074,1.695
5.096,1.687
5.118,1.679
5.141,1.672
5.163,1.664
5.185,1.658
5.207,1.652
5.229,1.646
5.251,1.640
5.273,1.636
5.295,1.631
5.317,1.627
5.339,1.624
5.361,1.620
5.383,1.618
5.404,1.615
5.426,1.613
5.448,1.611
5.469,1.610
5.491,1.608
5.513,1.606
5.535,1.605
5.558,1.603
5.581,1.601
5.604,1.599
5.627,1.597
5.650,1.595
5.674,1.593
5.698,1.591
5.722,1.589
5.746,1.587
5.770,1.585
5.795,1.583
5.819,1.582
5.844,1.580
5.869,1.579
5.894,1.578
5.919,1.576
5.944,1.576
5.969,1.575
5.995,1.574
6.020,1.573
6.045,1.573
6.071,1.572
6.096,1.571
6.122,1.570
6.148,1.569
6.173,1.568
6.199,1.567
6.225,1.565
6.251,1.564
6.277,1.562
6.303,1.560
6.329,1.558
6.355,1.556
6.382,1.554
6.409,1.552
6.436,1.551
6.464,1.549
6.492,1.547
6.520,1.546
6.548,1.544
6.577,1.543
6.607,1.542
6.636,1.541
6.666,1.540
6.696,1.540
6.727,1.540
6.758,1.539
6.789,1.540
6.820,1.540
6.852,1.540
6.883,1.541
6.915,1.542
6.947,1.543
6.979,1.545
7.011,1.547
7.044,1.549
7.076,1.551
7.108,1.554
7.140,1.557
7.172,1.560
7.203,1.564
7.233,1.568
7.264,1.573
7.293,1.578
7.322,1.584
7.350,1.590
7.377,1.597
7.402,1.604
7.427,1.612
7.451,1.621
7.473,1.630
7.495,1.640
7.515,1.650
7.535,1.661
7.554,1.672
7.573,1.684
7.591,1.696
7.608,1.708
7.626,1.721
7.643,1.735
7.660,1.748
7.676,1.762
7.693,1.776
7.709,1.791
7.724,1.806
7.739,1.822
7.753,1.838
7.766,1.856
7.777,1.873
7.788,1.892
7.797,1.912
7.804,1.932
7.809,1.953
7.813,1.975
7.816,1.998
7.817,2.021
7.817,2.044
7.815,2.067
7.812,2.090
7.808,2.114
7.802,2.137
7.795,2.159
7.787,2.181
7.778,2.203
7.768,2.224
7.756,2.243
7.744,2.262
7.731,2.280
7.717,2.296
7.702,2.311
7.686,2.324
7.669,2.335
7.652,2.344
7.634,2.352
7.616,2.358
7.597,2.363
7.578,2.367
7.558,2.370
7.538,2.373
7.518,2.376
7.497,2.380
7.477,2.384
7.456,2.389
7.435,2.395
7.414,2.402
7.393,2.410
7.372,2.418
7.350,2.426
7.329,2.434
7.308,2.442
7.286,2.450
7.264,2.457
7.242,2.463
7.220,2.467
7.198,2.471
7.175,2.474
7.153,2.475
7.130,2.476
7.107,2.477
7.085,2.477
7.062,2.477
7.040,2.477
7.017,2.476
6.995,2.477
6.973,2.477
6.951,2.479
6.929,2.480
6.908,2.483
6.886,2.485
6.864,2.488
6.843,2.490
6.821,2.493
6.799,2.495
6.777,2.497
6.754,2.499
6.732,2.500
6.708,2.501
6.685,2.502
6.662,2.502
6.638,2.501
6.615,2.501
6.591,2.501
6.568,2.500
6.545,2.500
6.522,2.500
6.500,2.500
6.479,2.500
6.458,2.501
6.437,2.502
6.417,2.503
6.397,2.504
6.378,2.506
6.358,2.507
6.338,2.509
6.318,2.510
6.297,2.511
6.276,2.511
6.254,2.511
6.231,2.511
6.208,2.510
6.185,2.509
6.161,2.508
6.138,2.506
6.115,2.505
6.092,2.504
6.070,2.502
6.048,2.501
6.028,2.500
6.009,2.500
5.990,2.499
5.972,2.499
5.955,2.499
5.937,2.499
5.919,2.500
5.901,2.500
5.882,2.500
5.862,2.500
5.840,2.500
5.817,2.500
5.793,2.499
5.768,2.498
5.741,2.498
5.714,2.497
5.687,2.496
5.659,2.495
5.630,2.494
5.602,2.493
5.574,2.491
5.546,2.490
5.518,2.489
5.491,2.488
5.465,2.487
5.439,2.486
5.414,2.485
5.389,2.484
5.365,2.483
5.342,2.481
5.319,2.479
5.297,2.477
5.275,2.474
5.254,2.471
5.233,2.467
5.213,2.463
5.193,2.458
5.173,2.452
5.154,2.447
5.135,2.441
5.116,2.435
5.097,2.428
5.078,2.422
5.059,2.416
5.040,2.411
5.020,2.405
5.001,2.400
4.981,2.395
4.962,2.390
4.943,2.384
4.924,2.378
4.905,2.371
4.887,2.363
4.870,2.353
4.854,2.342
4.838,2.329
4.823,2.315
4.809,2.299
4.796,2.283
4.784,2.266
4.772,2.249
4.760,2.231
4.749,2.215
4.738,2.198
4.728,2.183
4.718,2.169
4.708,2.156
4.699,2.143
4.689,2.131
4.679,2.118
4.669,2.104
4.658,2.089
4.646,2.072
4.634,2.054
4.622,2.033
4.609,2.010
4.596,1.986
4.584,1.961
4.573,1.937
4.563,1.912
4.556,1.889
4.551,1.868
4.550,1.848
4.551,1.832
4.557,1.818
