X,Y
4.250,2.193
4.262,2.184
4.277,2.179
4.295,2.177
4.314,2.178
4.336,2.180
4.358,2.185
4.382,2.191
4.406,2.197
4.431,2.204
4.456,2.211
4.481,2.217
4.506,2.222
4.530,2.226
4.554,2.230
4.577,2.233
4.601,2.235
4.624,2.237
4.648,2.239
4.671,2.241
4.695,2.242
4.719,2.244
4.743,2.247
4.768,2.249
4.793,2.253
4.818,2.257
4.844,2.261
4.870,2.266
4.896,2.271
4.922,2.277
4.948,2.283
4.974,2.289
5.000,2.296
5.025,2.303
5.050,2.310
5.075,2.317
5.099,2.325
5.122,2.332
5.145,2.340
5.167,2.347
5.188,2.355
5.210,2.363
5.231,2.370
5.251,2.378
5.272,2.386
5.293,2.394
5.314,2.402
5.335,2.410
5.356,2.418
5.378,2.426
5.401,2.434
5.424,2.442
5.447,2.451
5.470,2.459
5.494,2.468
5.517,2.477
5.541,2.486
5.564,2.495
5.588,2.504
5.611,2.514
5.634,2.523
5.657,2.533
5.679,2.543
5.701,2.554
5.723,2.564
5.745,2.575
5.766,2.586
5.787,2.597
5.808,2.608
5.828,2.619
5.849,2.631
5.870,2.642
5.891,2.654
5.912,2.666
5.933,2.677
5.954,2.689
5.976,2.701
5.997,2.713
6.019,2.725
6.041,2.737
6.063,2.748
6.086,2.760
6.108,2.771
6.130,2.783
6.153,2.794
6.176,2.805
6.199,2.816
6.222,2.826
6.245,2.837
6.269,2.847
6.292,2.857
6.315,2.867
6.338,2.878
6.361,2.888
6.384,2.899
6.407,2.911
6.429,2.923
6.451,2.935
6.473,2.948
6.494,2.962
6.515,2.977
6.535,2.992
6.555,3.008
6.574,3.025
6.593,3.042
6.611,3.059
6.628,3.077
6.645,3.095
6.661,3.113
6.677,3.131
6.691,3.150
6.705,3.167
6.718,3.185
6.731,3.203
6.743,3.220
6.754,3.236
6.765,3.252
6.777,3.268
6.788,3.284
6.800,3.299
6.813,3.313
6.826,3.327
6.841,3.341
6.856,3.354
6.872,3.366
6.888,3.378
6.902,3.390
6.915,3.401
6.924,3.411
6.930,3.421
6.932,3.431
6.928,3.439
6.920,3.447
6.908,3.455
6.892,3.462
6.873,3.468
6.852,3.474
6.830,3.479
6.807,3.483
6.783,3.487
6.761,3.490
6.739,3.493
6.717,3.495
6.697,3.496
6.676,3.497
6.656,3.498
6.635,3.499
6.615,3.499
6.594,3.499
6.573,3.500
6.552,3.500
6.529,3.500
6.506,3.501
6.483,3.501
6.459,3.502
6.434,3.502
6.409,3.502
6.383,3.503
6.357,3.503
6.331,3.503
6.304,3.503
6.278,3.502
6.251,3.501
6.224,3.500
6.197,3.499
6.171,3.497
6.144,3.495
6.117,3.493
6.091,3.490
6.064,3.487
6.038,3.484
6.012,3.480
5.986,3.476
5.960,3.472
5.934,3.468
5.909,3.463
5.884,3.459
5.859,3.454
5.835,3.449
5.811,3.444
5.787,3.438
5.764,3.433
5.741,3.427
5.718,3.422
5.695,3.416
5.673,3.410
5.651,3.404
5.630,3.398
5.609,3.392
5.588,3.385
5.567,3.379
5.547,3.373
5.527,3.366
5.507,3.360
5.488,3.353
5.468,3.345
5.449,3.338
5.429,3.330
5.409,3.322
5.390,3.313
5.370,3.304
5.349,3.295
5.329,3.285
5.309,3.275
5.288,3.264
5.267,3.253
5.247,3.242
5.226,3.230
5.205,3.218
5.184,3.206
5.163,3.194
5.142,3.181
5.122,3.168
5.101,3.156
5.080,3.143
5.060,3.130
5.040,3.117
5.019,3.104
4.999,3.091
4.979,3.078
4.959,3.065
4.939,3.052
4.919,3.039
4.899,3.026
4.879,3.014
4.859,3.001
4.839,2.989
4.819,2.977
4.799,2.964
4.779,2.952
4.760,2.940
4.741,2.928
4.722,2.915
4.703,2.903
4.684,2.890
4.666,2.877
4.648,2.864
4.630,2.850
4.612,2.836
4.595,2.822
4.579,2.808
4.562,2.795
4.546,2.781
4.531,2.768
4.515,2.756
4.500,2.744
4.486,2.733
4.471,2.723
4.458,2.714
4.444,2.706
4.431,2.698
4.418,2.690
4.405,2.682
4.393,2.674
4.381,2.664
4.370,2.654
4.358,2.643
4.348,2.631
4.337,2.617
4.327,2.602
4.316,2.586
4.307,2.568
4.297,2.548
4.288,2.527
4.279,2.504
4.270,2.480
4.261,2.454
4.253,2.426
4.246,2.398
4.239,2.370
4.234,2.342
4.230,2.315
4.228,2.289
4.228,2.264
4.230,2.242
4.234,2.222
4.241,2.206
4.250,2.193
