X,Y
2.933,2.678
2.939,2.670
2.947,2.665
2.957,2.662
2.968,2.659
2.981,2.658
2.994,2.657
3.006,2.655
3.019,2.654
3.030,2.651
3.042,2.649
3.053,2.646
3.064,2.642
3.074,2.639
3.085,2.635
3.096,2.630
3.108,2.626
3.119,2.621
3.131,2.616
3.142,2.612
3.154,2.607
3.165,2.603
3.177,2.600
3.188,2.597
3.199,2.595
3.211,2.593
3.222,2.591
3.233,2.589
3.245,2.587
3.256,2.584
3.268,2.581
3.280,2.577
3.292,2.573
3.304,2.569
3.316,2.564
3.329,2.560
3.341,2.556
3.354,2.552
3.366,2.548
3.379,2.546
3.391,2.543
3.403,2.542
3.416,2.540
3.428,2.539
3.441,2.539
3.454,2.539
3.467,2.539
3.479,2.539
3.492,2.540
3.505,2.540
3.518,2.541
3.531,2.542
3.544,2.543
3.557,2.544
3.570,2.545
3.582,2.545
3.594,2.547
3.606,2.548
3.616,2.550
3.626,2.554
3.634,2.558
3.641,2.563
3.646,2.570
3.650,2.579
3.653,2.588
3.655,2.598
3.655,2.609
3.655,2.620
3.655,2.632
3.653,2.644
3.651,2.656
3.649,2.667
3.646,2.678
3.642,2.688
3.638,2.696
3.632,2.703
3.627,2.710
3.621,2.715
3.614,2.721
3.607,2.726
3.600,2.732
3.592,2.738
3.584,2.744
3.576,2.750
3.566,2.755
3.556,2.759
3.546,2.762
3.534,2.763
3.522,2.764
3.509,2.764
3.497,2.763
3.484,2.762
3.472,2.762
3.460,2.761
3.448,2.761
3.438,2.762
3.427,2.762
3.417,2.764
3.408,2.765
3.398,2.766
3.387,2.767
3.377,2.767
3.366,2.767
3.355,2.767
3.344,2.766
3.332,2.766
3.321,2.766
3.310,2.767
3.299,2.767
3.288,2.768
3.276,2.769
3.265,2.770
3.254,2.771
3.242,2.772
3.230,2.772
3.217,2.772
3.204,2.771
3.191,2.770
3.178,2.769
3.165,2.768
3.153,2.768
3.142,2.767
3.132,2.766
3.124,2.767
3.116,2.767
3.108,2.767
3.100,2.767
3.091,2.767
3.081,2.766
3.069,2.764
3.057,2.762
3.045,2.760
3.032,2.758
3.020,2.757
3.008,2.756
2.997,2.755
2.987,2.756
2.979,2.757
2.971,2.756
2.963,2.754
2.956,2.750
2.949,2.743
2.943,2.734
2.937,2.722
2.933,2.710
2.931,2.698
2.931,2.687
2.933,2.678
