X,Y
2.939,2.739
2.947,2.732
2.957,2.727
2.969,2.725
2.982,2.725
2.996,2.726
3.011,2.728
3.026,2.730
3.040,2.732
3.054,2.734
3.068,2.735
3.080,2.735
3.092,2.735
3.103,2.735
3.114,2.734
3.126,2.734
3.137,2.733
3.148,2.733
3.160,2.734
3.172,2.734
3.185,2.735
3.197,2.737
3.210,2.738
3.223,2.740
3.236,2.742
3.248,2.744
3.261,2.746
3.274,2.748
3.287,2.751
3.299,2.753
3.312,2.756
3.325,2.758
3.337,2.761
3.350,2.764
3.363,2.767
3.376,2.770
3.388,2.774
3.401,2.777
3.413,2.781
3.424,2.785
3.435,2.790
3.445,2.794
3.455,2.799
3.463,2.805
3.470,2.811
3.476,2.817
3.480,2.823
3.483,2.830
3.483,2.837
3.482,2.844
3.480,2.851
3.476,2.858
3.471,2.866
3.465,2.873
3.459,2.881
3.453,2.888
3.446,2.896
3.438,2.903
3.431,2.910
3.423,2.917
3.414,2.924
3.406,2.930
3.397,2.937
3.389,2.943
3.381,2.950
3.373,2.956
3.365,2.962
3.359,2.969
3.353,2.975
3.347,2.981
3.341,2.987
3.334,2.993
3.327,2.998
3.318,3.001
3.308,3.005
3.297,3.007
3.285,3.009
3.272,3.010
3.260,3.010
3.247,3.011
3.234,3.011
3.222,3.011
3.211,3.011
3.200,3.011
3.190,3.011
3.179,3.011
3.169,3.011
3.158,3.011
3.148,3.011
3.137,3.011
3.125,3.011
3.114,3.011
3.102,3.011
3.091,3.011
3.079,3.011
3.067,3.011
3.056,3.011
3.044,3.011
3.033,3.011
3.023,3.010
3.013,3.009
3.004,3.006
2.996,3.001
2.990,2.995
2.984,2.988
2.979,2.979
2.975,2.970
2.972,2.960
2.969,2.951
2.966,2.942
2.963,2.935
2.961,2.928
2.958,2.920
2.956,2.912
2.952,2.903
2.949,2.891
2.945,2.877
2.941,2.862
2.937,2.845
2.933,2.827
2.931,2.810
2.929,2.792
2.929,2.776
2.930,2.761
2.933,2.749
2.939,2.739
